Question,Integral Response,Attachment(s),Control Observations/Comments,Additional Comments,Assessor Observations,Observation Type,Question Requirement,Additional Comments,Attachment(s),Updated observation,Updated Assessor Comments,,,,,,,,,,,,,,
"BE 01 : Do you have one control environment that covers all services provided by your company?

Control environment is defined as the set of controls that apply to the products and services that you provide. Simply put, will the responses to this question set apply to all of the services that you provide? Or are there differences in policies, standards, procedures and controls across your organizations products and services?
",Yes,NA,"Integral Development Corporation has one control environment that covers all services provided by its company in place.

This is the only control environment at Integral Development Corporation. Integral Development Corporation provides a platform for liquidity management, pricing, distribution and risk management in the foreign exchange market for their customers. Integral Development Corporation facilitates the services via email, SFTP, and databases for their customers. Integral Development Corporation stores non-public information in electronic data forms. This control environment includes the use of internet facing applications. Applications include FX trading management systems. Applications are custom developed in-house. Data is hosted at co-located datacenter(s). Integral Development Corporation uses Equinix for co-location data center services.  The data centers are located at Secaucus, New Jersey, 07094, United States and Slough, Berkshire, SL1 4NB, United Kingdom and Tokyo, 135-0051, Japan. The headquarters is located at 3000 El Camino Real, 2 Palo Alto Square, 6th Floor, Palo Alto, California, 94306, United States. Service processing facilities(s) are located at 3000 El Camino Real, 2 Palo Alto Square, 6th Floor, Palo Alto, California, 94306, United States. This control environment covers all global locations. Based on the services provided by Integral Development Corporation, Cloud Computing, Customer Facing, and Inventory Control are out of scope.",,No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"BE 02: Please validate the following information: 
1. Legal entity name 
2. Corporate HQ address 
3. Phone number
4. Name/email/phone of person completing the survey
","1. Integral Development Corp.
2. 3223 Hanover Street (office No.PALHAN017), Palo Alto, CA - 94304
3. (805) 464-4611
4. Tim Mahota, Chief Compliance Officer",,,"1. Integral Development Corp.
2. 3223 Hanover Street (office No.PALHAN017), Palo Alto, CA - 94304
3. (805) 464-4611
4. Tim Mahota, Chief Compliance Officer",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"BE 03: How long has your company been in operation?
",Since 1993,,"Integral Development Corporation has been in operation since Since 1993
",Integral Development Corporation has been in operation since Since 1993.,No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"BE 04: How many employees does your company have?
",127,,Integral Development Corporation has about 120 employees.,,No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"BE 05: Is your business entity a publicly listed company or a wholly owned subsidiary of a publicly listed company?
",No,,Integral Development Corporation is not a publicly listed company or a wholly owned subsidiary of a publicly listed company.,Integral Development Corporation is not a publicly listed company or a wholly owned subsidiary of a publicly listed company.,No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"BE 06: Has your company had any significant changes in service offerings or significant business model changes in the last 12 months? 

If yes, please describe.
",No,,"Integral Development Corporation has not had significant changes in service offerings or significant business model changes in the last 12 months
",Integral Development Corporation has not had significant changes in service offerings or significant business model changes in the last 12 months.,No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"BE 07: Does your company have an ongoing business strategy process that covers products, services and other new or materially changed activities?
",Yes,,"Integral Development Corporation does have an ongoing business strategy process that covers products, services and other new or materially changed activities in place.

Product roadmaps outline the development goals quarterly. Sales and product development teams participate in the creation of the roadmaps.","Integral Development Corporation does have an ongoing business strategy process that covers products, services and other new or materially changed activities in place.

Product roadmaps outline the development goals quarterly. Sales and product development teams participate in the creation of the roadmaps.",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"BE 08: Does your company have an Environmental, Social and Governance (ESG) Policy or Program requirement(s) for your organization and supply chain?

If yes, please attach.
Artifact Required: Environmental, Social and Governance (ESG) Policy or Program documents (e.g., policy, procedures)

Design Elements:
1. Labor, health, and safety commitments
2. Policy(ies) prohibiting forced/child labor in your operations and your supply chain
3. Due diligence processes to assess and address risk of forced/child labor occurring in your operations and your supply chain (e.g. risk assessment, training, supply chain due diligence)
4. Public reporting/disclosure of current greenhouse gas emissions (Scope 1 and 2)
5. Public greenhouse gas emissions reduction target (% and date by which target will be achieved) 
6. Public reporting/disclosure of workforce representation by gender and by race/ethnicity background
7. Public reporting/disclosure of Board representation by gender and by race/ethnicity background",Yes,Doc link: https://docs.google.com/document/d/1RMdgdIX85349rZegdJfM4nWLBzXjJ49MbZ0kUKTjXxA/edit?usp=sharing,,"Integral Development Corporation does have an Environmental, Social and Governance (ESG) Policy/Program in place. And is designed and tailored to Integral's operations and specific service offering.  Integral is a high tech business which requires employees to have significant education and experience, which is also required by any suppliers Integral may use.  The risk of the use of child labor is very low.  Moreover, Integral does not manufacture product and its operations do not produce any material greenhouse gas. 

The following design elements are in place:
1. Labor, health, and safety commitments
    New Policy Text US 0121.pdf [Stage 5] - Page 3, Section Employment Status 

6. Public reporting/disclosure of workforce representation by gender and by race/ethnicity background
    New Policy Text US 0121.pdf [Stage 5] - Page 2, Section Equal Opportunity Employment 

7. Public reporting/disclosure of Board representation by gender and by race/ethnicity background
    New Policy Text US 0121.pdf [Stage 5] - Page 2, Section Equal Opportunity Employment

Evidence referenced:
New Policy Text US 0121.pdf [Stage 5] 
",Observation Noted,Design Gap,In Scope,"As noted, Integral has a ESG policy that is designed and tailored to Integral's operations and specific service offering.  Integral is a high tech business which requires employees to have significant education and experience, which is also required by any suppliers Integral may use.  Thus, the risk of the use of child labor is very low.  Moreover, Integral does not manufacture product and its operations do not produce any material greenhouse gas.  Nevertheless, in order to address this Assessor Observation, Integral has updated its ESG as attached.   ","(Doc link: https://docs.google.com/document/d/1RMdgdIX85349rZegdJfM4nWLBzXjJ49MbZ0kUKTjXxA/edit?usp=sharing)
",Design Gap,"Design Elements 4 and 5 were not captured in ""BE002 - Corporate Social Responsibility policy_Excerpts HR Policy.pdf"".",,,,,,,,,,,,,,
"BE 09: Does your company have three years of audited or reviewed financial statements?

If yes, please attach.
Artifact Required: Financial Audit Reports",Yes,BE 003 Regarding financial report.pdf [Stage 5](file),Integral being a private company therefore will not be sharing the financial statements externally.,"Integral Development Corporation does have three years of audited financial statements.

Integral is a privately held company and does not provide financials other than as legally required.",Observation Noted,Evidence Gap,In Scope,Integral is a privately held company and does not provide financials other than as legally required. ,,Evidence Gap,Last three years of audited financial statements could not be provided due to confidentiality.,,,,,,,,,,,,,,
"BE 10: Has your company or have any associated persons had any incidents, investigations or allegations of bribery, privacy complaints corruption, money laundering, misrepresentation, or court proceedings or litigation related to breaches of legislation, products, or services or any other similar activities within the last 5 years? 

If yes, what action(s) have been taken by the Regulator/the Courts and remedial actions taken by your Organization?

*Associated persons is defined as senior management and employees as well as subcontractors who may have access to critical systems or confidential information.
",No,,,"Integral Development Corporation has not had incidents, investigations or allegations of bribery, corruption, money laundering, misrepresentation, or court proceedings or litigation related to breaches of legislation, products, or services or any other similar activities within the last 5 years.",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"BE 11: Has your company had any regulatory consent orders/decrees, going concerns, high-risk exam findings, or matters requiring attention pertaining to any of your services? 

If yes, please describe what if any are still open and what if any (open and closed) were identified within the last 24 months.
",No,,,"Integral Development Corporation has not had regulatory consent orders/decrees, going concerns, high-risk exam findings, or matters requiring attention pertaining to any of its services in the last 24 months.",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"BE 12: Please indicate the location of the primary, secondary and any other data centres and corporate name of the data centre providers.",Yes,,,"Tier III Equinix data center facilities in Secaucus,New Jersey (NY4); Slough, United Kingdom(LD4); Tokyo, Japan(TY3) and Crescent, Singapore(SG1)",,,,,,,,,,,,,,,,,,,,,
