Question,Integral Response,Control Observations/Comments,Attachment(s),Additional Control Observations,Assessor Observations,Observation Type,Question Requirement,Additional Comments,Attachment(s),Updated observation,Updated Assessor Comments,,,,,,,,,,,,,,
"CC001: Does your company have a Cloud Computing Policy, Program, or Standard which includes the definition of applicable governance, risk and compliance roles and responsibilities to confirm appropriate oversight of the use of cloud services?

If yes, please attach.
Artifact Required: Cloud Computing Policy

Inventory of cloud vendors and cloud services utilized",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC002: Does your company have processes in place to maintain the integrity of cloud operating systems and applications?

If yes, please describe.
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC003: Does your company use an identity and access management solution to manage authentication, authorization and accounting for any user (human) accounts used to access cloud services or systems that are hosted in cloud service environments?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC004: Does your company maintain business continuity and exit procedures that address portability, interoperability and vendor lock-in risks which are primarily associated with use of cloud service provider proprietary technologies?

If yes, please describe or attach.
Artifact Required: Business continuity and exit procedures",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC005: Does your company use host-based firewalls for all hosts that are hosted in cloud service environments?

If yes, please describe.
Artifact Required: Screenshot of host-based firewall configured on servers within the cloud environment.",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC006: Does your company prevent the storage of customer data in cloud service provider logs?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC007: Does your company have any cloud service systems (e.g., operating systems, applications, databases) where unencrypted customer data is processed?

If yes, provide a description of services where and why data may be unencrypted within the cloud environment.
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC008: Does your company use local accounts to authenticate to the cloud console or authenticate to the cloud console via a defined Identity Management solution?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC009: Do all users with a console password utilize multi-factor authentication?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC010: Have all local cloud user accounts that have been inactive for 90 days or more been removed or deactivated?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC011: Are user access keys regularly rotated?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC012: Does the local cloud account password policy enforce complexity?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC013: Are monitoring controls (e.g. CloudTrail, Azure Security Center, etc.) in place (including log file validation and S3 Bucket Access where applicable), configured to capture account activity, monitored, not publicly accessible and appropriately alarmed for all cloud environments?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC014: In the event of an incident, does your company have response capabilities to support the isolation of all cloud service customer data and systems (e.g., servers, operating systems, applications, databases, networking, storage, virtualization and security) that are hosted in cloud service environments?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC015: Does your company evaluate all master images for vulnerabilities and security updates within 24 hours prior to provisioning systems that are hosted in cloud service environments?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC016: Does your company ensure the confidentiality and integrity of all cloud service customer virtual machine images and snapshots are maintained at all times?

If yes, please describe the process and tools utilized.
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC017: If your company uses cloud resource pooling and were to receive a client subpoena or be involved in a forensics incident, could you provide legally acceptable evidence of data segmentation without impact to other clients' data?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC018: Does your company prevent the storage of cloud service customer data in cloud service provider logs?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC019: Does your company have a technology that gives your cloud service clients the ability to generate, rotate, and solely manage a unique encryption key?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC020: Does your company maintain annual compliance with any cloud-specific industry certifications?

If yes, please describe.
Artifact Required: Inspect the industry certification results",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC021: Does your company use isolated network segments for virtualization operations (e.g., virtual machine migration) used to provide cloud services?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC022: Does your company use a trusted supply chain for procuring hardware and validate that known good media is used for BIOS and firmware for all hardware used to provide cloud services?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC023: Does your company support the ability to make available and provide all cloud service customer data (structured and unstructured) in an industry-standard format to the cloud service customer upon request?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC024: Do you have a capability to create and manage unique encryption keys per tenant?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
"CC025: Does the root/privileged accounts of the cloud service require multi-factor authentication?
",,,,,Not Applicable,,Out of Scope,,,,,,,,,,,,,,,,,,
