Question,Integral Response,Attachment(s),Additional Comments,Additional Control Observations,Assessor Observations,Observation Type,Question Requirement,Additional Comments,Attachment(s),Updated observation,Updated Assessor Comments,,,,,,,,,,,,,,
"IC001: Does your company have an Internal Audit Plan or Program for independent validation of the design and operating effectiveness of your internal controls?

If yes, please attach.
Artifact Required: Internal Audit Program Documentation (e.g., policy, procedures)

Design Elements:
1. Range of business assets to be evaluated (People, Process, Technology & Data)
2. Range of risk areas in scope
3. Scoping & context (weighting of H/M/L risk areas)
4. Risk evaluation criteria",Yes,Docs to be shared: https://drive.google.com/file/d/1-mbAXhAv-OZoRjjZuN4lKVOtm7zfq9X5/view?usp=share_link,The annual SOC and Compliance audits constitute a robust internal audit program for integral.  This allows a more tailored and meaningful internal audit which produces better insight and results than a more general overarching internal audit plan.  ,"Integral Development Corporation does not have an Internal Audit Plan or Program for independent validation of the design and operating effectiveness of its internal controls in place.



Through inquiry, Integral performs a SOC audit as part of their internal audit procedures but does not have a formal internal audit plan in place.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",Observation Noted,Control Gap,In Scope,Integral asserts that its combined annual SOC and Compliance audits constitute a robust internal audit program.  This allows a more tailored and meaningful internal audit which produces better insight and results than a more general overarching internal audit plan.  ,"Docs to be shared: https://drive.google.com/file/d/1WME2iDnYk352QubROi_r2r6ZJ9bBhyi4/view?usp=sharing

https://drive.google.com/file/d/1r7v5taqwLesLcreEyT5CrakB1KKFn197/view?usp=sharing",Design Gap,"Updated to Design Gap. Design Element 3 is not captured in ""IC001- Internal Audit Plan - Policy.pdf [Stage 13]"".",,,,,,,,,,,,,,
"IC002: Does your company have a person, group or department (e.g., Audit, Compliance) that is responsible for testing and auditing against legal, privacy, regulatory requirements and industry standards related to your business?

If yes, please describe.
",Yes,,"Integral has an Audit and Compliance department that is responsible for testing and auditing against legal, privacy, regulatory requirements and industry standards related to its business in place.","Integral Development Corporation does have a person, group or department (e.g., Audit, Compliance) that is responsible for testing and auditing against legal, privacy, regulatory requirements and industry standards related to its business in place.

Integral has an independent team that they consider their audit department.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"IC003: Does your company have an Enterprise Policy or Procedure that dictates policy management (e.g., creation, change, removal, implementation/communication) and annual review/approval requirements?  


If yes, please attach.
Artifact Required:  Policy Management Policy

Design Elements:
1. Requirement for policy ownership
2. Requirements for a policy inventory and restricting edit abilities",Yes,Link to doc: https://drive.google.com/file/d/18F-IX3xRe28AeY9X8lOnkxaBMDTvEBl0/view?usp=share_link,"Integral maintains its policies through policy owners. Integral has a Policy to manage policies, and dictates policy management (e.g., creation, change, removal, implementation/communication) and annual review/approval requirements.","Integral Development Corporation does have an Enterprise Policy or Procedure that dictates policy management (e.g., creation, change, removal, implementation/communication) and annual review/approval requirements in place.



However, the following design elements are not in place: 
2. Requirements for a policy inventory and restricting edit abilities

The following design elements are in place:
1. Requirement for policy ownership
    04-01 Review of Handbook.pdf [Stage 5] - Page 1, Policy Review and Change History




Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inspection of evidence.

Evidence referenced:
04-01 Review of Handbook.pdf [Stage 5] 
",Observation Noted,Design Gap,In Scope,"Integral maintains its policies through policy owners without the need for detailed policy inventory steps and formal statements as to who may edit the policies, as such would be required in very large institutions.  Nevertheless, Integral has augmented its policy to further address these points.  ",Doc link: https://drive.google.com/file/d/1tjCbIL0_wRwOUVDqVLTkaMhG8S9RRpL-/view?usp=sharing,No Observation Noted,,,,,,,,,,,,,,,
"IC004: Has your company formally reviewed and approved corporate policies in the last 12 months?
Artifact Required:  Evidence of corporate policy review and approval if not included in each individual policy.",Yes,Doc: https://drive.google.com/file/d/1zrFkDFdCs8VK7AQb5XEgDAHTJUGIBV3s/view?usp=share_link,Integral has formally reviewed and approved corporate policies in the last 12 months.,"Integral Development Corporation has formally reviewed and approved corporate policies in the last 12 months.

Through inquiry, policy review is completed by Human Resources on an annual basis and reviewed by the CFO. The last review date occurred on 8/3/20 and approved on 8/4/20.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inquiry with Seeja Jiju, Program Manager on 07/23/2021 and inspection of evidence.

Evidence referenced:
04-01 Review of Handbook.pdf [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"IC005: Has your company had any external audits or regulatory audits in the last 18 months (e.g., SSAE 18, SOC 1 or 2)?  

If yes, please list the audits, firms/regulators who provided the opinion, and period covered.
Artifact Required: External Audit Reports",Yes,Link to doc: https://drive.google.com/file/d/18F-IX3xRe28AeY9X8lOnkxaBMDTvEBl0/view?usp=share_link,Integral conducts an annual SOC audit.,"Integral Development Corporation has had external audits or regulatory audits in the last 18 months (e.g., SSAE 18, SOC 1 or 2).

Integral Development conducts an annual SOC 1 and ISAE 3402 report.

Cyberguard Compliance completed Integral SOC 1 Type 2 for the period September 1, 2019 to August 31, 2020. An unqualified opinion was issued. The examination did not extend to controls of the subservice organizations. No exceptions were noted. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inspection of evidence.

Evidence referenced:
Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"IC006: Has your company received PCI-DSS Certification for all environments accessing, processing or storing client credit card information?

If yes, what PCI Compliance Level (1 - 4) is your company?  Please attach the associated compliance documents.
Artifact Required: PCI-DSS Compliance or Certification documents:
  - Self-Assessment Questionnaire (SAQ) or 
  - Attestation of Controls (AOC) or 
  - Report on Controls

Design Elements:
1. If the supplier is required to self-assess compliance, evidence shall include a signature of the executive officer (CFO or similar) on the SAQ (Self-Assessment Questionnaire). Confirm that the 'compliant' field is checked and the document is dated within 1 year of the time of the assessment. (NOTE: Evidence must be a PCI counsel approved document. TruSight WILL NOT accept vendor-issued certificates.) 
2. If the supplier is required to be QSA certified, evidence shall include a signature of both the executive officer (CFO or similar) and the QSA on the Attestation of Compliance (AOC). Confirm that the 'compliant' field is checked and the document is dated within 1 year of the time of the assessment. 
3. If the supplier is required to undergo an annual audit (Service Providers processing >300K credit card transactions per year or Merchants processing >6 million credit card transactions per year), evidence shall include a signature of the executive officer (CFO or similar) on the Report on Compliance (RoC). Confirm that the document is dated within 1 year of the time of the assessment.",Not Applicable,,This control is not applicable. Integral systems do not store credit card information in its systems.,"This control is not applicable

Integral systems do not store credit card information in its systems.



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",Not Applicable,,In Scope,,,,,,,,,,,,,,,,,,
"IC007: Does your company have a Regulatory Change Management Policy/Procedure to ensure policies and procedures are aligned to legislative and regulatory requirements for all jurisdictions applicable to the services or products you provide?

If yes, please attach.
Artifact Required:  Regulatory Change Mgmt. (or similar) Process/Program 

Design Elements:
1.  Process to monitor and track regulatory guidance and industry updates
2.  Process to trigger a review and update of policies and procedures
3.  Process to communicate changes",Yes,Doc: https://drive.google.com/file/d/1QVjPLgLiiCY50zhS1O4Eh8cQjnm2pIg1/view?usp=share_link,"Integral have a Regulatory Change Management Policy/Procedure to ensure policies and procedures are aligned to legislative and regulatory requirements for all jurisdictions applicable to the services or products it provides in place.
","Integral Development Corporation does not have a Regulatory Change Management Policy/Procedure to ensure policies and procedures are aligned to legislative and regulatory requirements for all jurisdictions applicable to the services or products it provides in place.



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",Observation Noted,Control Gap,In Scope,"Integral Development Corporation does have a Regulatory Change Management Policy/Procedure to ensure policies and procedures are aligned to legislative and regulatory requirements for all jurisdictions applicable to the services or products it provides in place.

Monitor Regulations:
See Section 2.3 of the Compliance Manual:  
Employees should read this Manual carefully to familiarise themselves with the procedures described or referred to in it, and to identify the areas that are of direct application to their Integral role. The Manual is under continuous review and will be developed on an on-going basis as and when any relevant changes are made to the applicable laws, regulations, rules, procedures, the FCA Handbook or industry standard guidance.
See Section II(B.) on page 55 of the Compliance Manual:
A Senior Manager must take reasonable steps to ensure that the business of the firm for which you are responsible complies with the relevant requirements and standards of the regulatory system.  The following behavior would breach this conduct rule:…failing to take reasonable steps to monitor (either personally or through a compliance department or other departments) compliance with the relevant requirements and standards of the regulatory system for the activities of the firm in question; and
Update Triggers:
See Section 2.3 of the Compliance Manual:  
Compliance with this Manual and applicable law and regulation shall be monitored through the Compliance Monitoring Programme and audited no less often than annually through a compliance audit.
Communication of Changes
See Section 8.5 of the Compliance Manual:
Integral requires all Employees to maintain their competence. Such maintenance should take into account the Employees' technical knowledge and its application, their skills and any changes to the relevant market, products, legislation and regulations.
See Section 7 p. 83 of the Compliance Manual:
Changes in applicable market abuse and other laws and regulations or this Policy will be promptly communicated to Employees by the Compliance Officer.
Annual Attestations for Employees (see sample attached)
Annual Compliance Training (see 2020 Training List attached)
",Link to doc: https://drive.google.com/file/d/11EDXbbHoO74_DMMlz7jcpR7wniFzQss9/view?usp=sharing,No Observation Noted,,,,,,,,,,,,,,,
"IC008: Does your company have a Compliance Program? 

If yes, please attach.

Artifact Required: Compliance Program documentation (e.g., policy, procedures)
Artifact Required: Compliance Program documentation (e.g., policy, procedures)

Design Elements:
1. Includes criteria for compliance monitoring
2. Includes ongoing assessment of the design and operating effectiveness of compliance controls
3. Compliance Risk Management including identification and risk assessment
4. Communication of Compliance requirements to employees
5. Overview or reporting and escalation of compliance gaps
6. Overview of the plan, or activities to ensure adherence to regulatory requirements
7. Monitoring and Testing procedures",Yes,Doc: https://drive.google.com/file/d/1QVjPLgLiiCY50zhS1O4Eh8cQjnm2pIg1/view?usp=share_link,"Integral has compliance program in place.
","Integral Development Corporation does have a compliance program in place.



The following design elements are in place:
1. Includes criteria for compliance monitoring
    Compliance Manual (updated as at 20210429).docx [Stage 5] - Page 6

2. Includes ongoing assessment of the design and operating effectiveness of compliance controls
    Compliance Manual (updated as at 20210429).docx [Stage 5] - Page 6

3. Compliance Risk Management including identification and risk assessment
    Compliance Manual (updated as at 20210429).docx [Stage 5] - Page 10, Section 5

4. Communication of Compliance requirements to employees
    Compliance Manual (updated as at 20210429).docx [Stage 5] - Page 34

5. Overview or reporting and escalation of compliance gaps
    Compliance Manual (updated as at 20210429).docx [Stage 5] - Page 12, Section 7

6. Overview of the plan, or activities to ensure adherence to regulatory requirements
    Compliance Manual (updated as at 20210429).docx [Stage 5] - Page 6

7. Monitoring and Testing procedures
    Compliance Manual (updated as at 20210429).docx [Stage 5] - Page 34




Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inspection of evidence.

Evidence referenced:
Compliance Manual (updated as at 20210429).docx [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"IC009: Does your company have an Anti-Money Laundering or Global Financial Crimes (AML/GFC) Program?

If yes, please attach.
Artifact Required: Anti-Money Laundering or Global Financial Crimes (AML/GFC) Program documentation (e.g., policy, procedures)

Design Elements:
1. Requirements or procedures to monitor and detect suspicious activity
2. Requirements or procedures to investigate suspicious activity
3. Requirements or procedures to track suspicious activity to resolution
4. Requirements or procedures to report internally and externally including required timeframes
5. Requirements for document retention according to AML laws",Yes,Doc: https://drive.google.com/file/d/1QVjPLgLiiCY50zhS1O4Eh8cQjnm2pIg1/view?usp=share_link,"Integral have an Anti-Money Laundering or Global Financial Crimes (AML/GFC) program in place.
refer to the Compliance Manual  - Section Anti-money laundering and sanctions policy
","Integral Development Corporation does have an Anti-Money Laundering or Global Financial Crimes (AML/GFC) program in place.



The following design elements are in place:
1. Requirements or procedures to monitor and detect suspicious activity
    Compliance Manual (updated as at 20210429).docx [Stage 5] - page 65, Section Anti-money laundering and sanctions policy

2. Requirements or procedures to investigate suspicious activity
    Compliance Manual (updated as at 20210429).docx [Stage 5] - page 65, Section Anti-money laundering and sanctions policy

3. Requirements or procedures to track suspicious activity to resolution
    Compliance Manual (updated as at 20210429).docx [Stage 5] - page 65, Section Anti-money laundering and sanctions policy

4. Requirements or procedures to report internally and externally including required timeframes
    Compliance Manual (updated as at 20210429).docx [Stage 5] - page 65, Section Anti-money laundering and sanctions policy

5. Requirements for document retention according to AML laws
    Compliance Manual (updated as at 20210429).docx [Stage 5] - Page 67, Section 5




Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inspection of evidence.

Evidence referenced:
Compliance Manual (updated as at 20210429).docx [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"IC010: Does your company have an Anti-fraud Program?  

If yes, please attach.
Artifact Required: Anti-Fraud Program documentation (e.g., policy, procedures)

Design Elements:
1. Definition of fraud & fraud risks that apply to the products or services offered
2. Scope includes employees and subcontractors 
3. Requirements or procedures to prevent and detect fraud
4. Requirements or procedures to investigate fraud
5. Requirements or procedures to remediate and track to resolution
6. Requirements or procedures to report internally and externally including required timeframes
7. Requirements for document retention according to anti-fraud laws",Yes,Doc: https://drive.google.com/file/d/1QVjPLgLiiCY50zhS1O4Eh8cQjnm2pIg1/view?usp=share_link,"Integral have an anti-fraud program in place.
Refer to the Compliance Manual- Section Anti-money laundering and sanctions policy","Integral Development Corporation does have an anti-fraud program in place.



The following design elements are in place:
1. Definition of fraud & fraud risks that apply to the products or services offered
    Compliance Manual (updated as at 20210429).docx [Stage 5] - page 65, Section Anti-money laundering and sanctions policy

2. Scope includes employees and subcontractors 
    Compliance Manual (updated as at 20210429).docx [Stage 5] - page 65, Section Anti-money laundering and sanctions policy

3. Requirements or procedures to prevent and detect fraud
    Compliance Manual (updated as at 20210429).docx [Stage 5] - page 65, Section Anti-money laundering and sanctions policy

4. Requirements or procedures to investigate fraud
    Compliance Manual (updated as at 20210429).docx [Stage 5] - page 65, Section Anti-money laundering and sanctions policy

5. Requirements or procedures to remediate and track to resolution
    Compliance Manual (updated as at 20210429).docx [Stage 5] - page 65, Section Anti-money laundering and sanctions policy

6. Requirements or procedures to report internally and externally including required timeframes
    Compliance Manual (updated as at 20210429).docx [Stage 5] - page 65, Section Anti-money laundering and sanctions policy

7. Requirements for document retention according to anti-fraud laws
    Compliance Manual (updated as at 20210429).docx [Stage 5] - page 65, Section Anti-money laundering and sanctions policy




Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inspection of evidence.

Evidence referenced:
Compliance Manual (updated as at 20210429).docx [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
