Question,Integral Response,Control Observations/Comments,Attachment(s),Additional Control Observations,Assessor Observations,Observation Type,Question Requirement,Additional Comments,Attachment(s),Updated observation,Updated Assessor Comments,,,,,,,,,,,,,,
"LAM001: Does your company have an Access Management Policy?

If yes, please attach.
Artifact Required: Access Management Policy

Design Elements:
1. Requirements for access requests (e.g. request, approval, access provisioning)
2. Requirements for provisioning principles (role based, least privilege)
3. Requirements for remote access provisioning
4. Requirements for the management of functional/non-human ID's",Yes,,"New Security Text 0121.pdf [Stage 5](file)
03-10 Access Rules.jpg [Stage 5](file)","Integral Development Corporation does have an access management policy in place.



However, the following design elements are not in place: 
2. Requirements for provisioning principles (role based, least privilege)

The following design elements are in place:
1. Requirements for access requests (e.g. request, approval, access provisioning)
    New Security Text 0121.pdf [Stage 5] - Page 10, Section Security Access

3. Requirements for remote access provisioning
    New Security Text 0121.pdf [Stage 5] - Page 16, Section Remote Access

4. Requirements for the management of functional/non-human ID's
    03-10 Access Rules.jpg [Stage 5] - Page 1


Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inspection of evidence.

Evidence referenced:
03-10 Access Rules.jpg [Stage 5] 
New Security Text 0121.pdf [Stage 5] 
",Observation Noted,Design Gap,In Scope,Security handbook and Access Management Policy were updated to augment their provisioning principles.,Doc link: https://docs.google.com/document/d/1exFXcaeEJ-R2DVpxQXk9qwDLx1eWqql6_FLaN9ztjZw/edit#,No Observation Noted,,,,,,,,,,,,,,,
"LAM002: Does your company have controls to require separation of duties between the requester, approver, and access granter for access requests?  

If yes, please attach.
Artifact Required: Access request ticket and all associated documentation 



Design Elements:
1.  Requests Requestor
2.  Authorization Approver
3.  Grantor
4.  Verification",Yes,,User Access Ticket(private),"Integral Development Corporation does have controls to require separation of duties between the requester, approver, and access granter for access requests in place.

Integral utilizes ZenDesk as their ticketing system for new user access, termination and role change.  

The following design elements are in place:
1.  Requests Requestor
    User Access Ticket - Screenshare

2.  Authorization Approver
    User Access Ticket - Approver

3.  Grantor
    User Access Ticket - Grantor

4.  Verification
    User Access Ticket - Verifier


Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

Evidence referenced:
User Access Ticket - Documents were not retained but inspected and validated remotely.
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM003: Does your company prevent employees from having a shared account unless a management exception is obtained?  

If yes, please describe the exception process (i.e., Approval, justification, expiration).
",No,,,"This control is not applicable

Shared accounts are not permitted under any exception. 



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",Not Applicable,,In Scope,,,,,,,,,,,,,,,,,,
"LAM004: Does your company have non-repudiation controls in place including the requirement that all system users authenticate with a unique User ID that is not a national identification number (e.g., SSN) and require all accounts (e.g., user, service, privileged, temporary, test) to have a designated owner?
",Yes,,,"Integral Development Corporation does have non-repudiation controls including the requirement that all system users authenticate with a unique user ID that is not a national identification number (e.g., SSN) and require all accounts (e.g., user, service, privileged, temporary, test) to have a designated owner in place.





Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM005: Does your company have a process to manage employee and subcontractor access/status changes, role transfers, and terminations? 

If yes, please describe the time frame for the implementation of changes.
Artifact Required: Termination and transfer/change of access request ticket and all associated documentation",Yes,,"03-02 Employee Handbook.pdf [Stage 5](file)
01-07 Vendor Management Policy.pdf [Stage 5](file)","Integral Development Corporation does have a process to manage employee and subcontractor access/status changes, role transfers, and terminations in place.

Upon termination, a termination checklist is used by Human Resources to ensure that terminated employees' access badges or keys are returned and deactivated. For role transfers, new or modified access request must be authorized and approved by HR prior to granting access. 

The assessor inspected the Integral SOC 1. Termination tickets for sampled terminated employees during the audit period was obtained and reviewed. For role transfers, there were no samples to test because there were no existing users with modified user access requests during the audit period. Terminated users' access is removed within 24 hours and a change of access is implemented within 1 week of the role change.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inspection of evidence and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

Evidence referenced:
Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM006: Does your company conduct general access-level reviews for all systems that store, transfer, or process information at least annually? 

If yes, please describe the frequency.
Artifact Required: Evidence of recent user access recertification

Design Elements:
1. Validate the assessment included a baseline of all active/inactive/disabled accounts (user and system)
2. Validate the review included the associated access levels assigned to users
3. Validate the review included a formal approval or sign off
4. Validate the access level review that was provided occurred in the last 12 months",Yes,,"Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5](file)
 Access Recertification Report(private)","Integral Development Corporation does conduct general access-level reviews for all systems that store, transfer, or process information every 12 months.



The following design elements are in place:
1. Validate the assessment included a baseline of all active/inactive/disabled accounts (user and system)
    Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5] - CC3.7; page 30

2. Validate the review included the associated access levels assigned to users
     Access Recertification Report - Whole document

3. Validate the review included a formal approval or sign off
     Access Recertification Report - Whole document

4. Validate the access level review that was provided occurred in the last 12 months
    Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5] - CC3.7; page 30


Per SOC 1 Type 2 Report, CC3.7, a user access review of all network account is performed annually. The access review performed during the audit period was obtained and reviewed to ensure a user access review was performed. No exceptions were noted. 

Assessor work steps: 
The assessor's comments were completed through inquiry with Seeja Jiju, Program Manager on 07/23/2021 and inspection of evidence.

Evidence referenced:
 Access Recertification Report - Documents were not retained but inspected and validated remotely.
Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM007: Does your company have a control to disable and delete inactive accounts for all systems (including but not limited to servers, routers, databases, switches, firewalls)?  

If yes, please describe how you identify inactive accounts and if the control is manual or automated.


Design Elements:
1. Identification of inactive accounts process - is the control is manual or automated?
2. Revoke/disable access after 90 days of inactivity",Yes,Integral support will disable access to the account.,New Security Text 0121.pdf [Stage 5](file),"Integral Development Corporation does have a control to disable and/or delete inactive accounts for all systems (including but not limited to servers, routers, databases, switches, firewalls) in place.

Integral has an automated script that runs to disable inactive accounts.

The following design elements are in place:
1. Identification of inactive accounts process - is the control is manual or automated?
    New Security Text 0121.pdf [Stage 5] - Page 10, Section Security Access

2. Revoke/disable access after 90 days of inactivity
    New Security Text 0121.pdf [Stage 5] - Page 10, Section Security Access




Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inquiry with Seeja Jiju, Program Manager on 07/23/2021 and inspection of evidence.

Evidence referenced:
New Security Text 0121.pdf [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM008: Are your network password configuration settings aligned to industry best practices? 

Please describe any variances from your Password Policy.
Artifact Required: 
Screenshot of example of AD password configuration settings

Design Elements:
1.  Password history requirements - minimum of 12 previous passwords
2. Minimum password age - minimum of 3 days
3. Maximum password age - at most 90 days for common user and at most 30 days for privileged user
4. Minimum password length - at least 8 characters (PINs must be at least 4 characters)
5. Password complexity - must use at least 3 of the four available character types: lowercase letters, uppercase letters, number, and symbols
6. Invalid attempt lock-out - a maximum of 5 failed attempts
7. Lockout is for a minimum period of 15 minutes unless unlocked by system administrator (i.e. incorrect password attempt lockout)",Yes,,Default Domain Policy(private),"Integral Development Corporation does align network password configuration settings to industry best practices.

The following design elements are in place:
1.  Password history requirements - minimum of 12 previous passwords
    Default Domain Policy - Password History

2. Minimum password age - minimum of 3 days
    Default Domain Policy - Minimum password age

3. Maximum password age - at most 90 days for common user and at most 30 days for privileged user
    Default Domain Policy - Password Expiration

4. Minimum password length - at least 8 characters (PINs must be at least 4 characters) - 8 characters
    Default Domain Policy - Password Complexity

5. Password complexity - must use at least 3 of the four available character types: lowercase letters, uppercase letters, number, and symbols
    Default Domain Policy - Password Complexity

6. Invalid attempt lock-out - a maximum of 5 failed attempts
    Default Domain Policy - Lockout Threshold

7. Lockout is for a minimum period of 15 minutes unless unlocked by system administrator (i.e. incorrect password attempt lockout)
    Default Domain Policy - Lockout Period


The assessor observed Integral's Default Domain Policy and validated the design elements in place.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inquiry with Seeja Jiju, Program Manager on 07/23/2021 and observation of evidence.

Evidence referenced:
Default Domain Policy - Documents were not retained but inspected and validated remotely.
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM009: Does your company encrypt (hash and salt) company-controlled access credentials in storage and transfer?

If yes, please describe the algorithm used and salt length.


Design Elements:
1.  Are application password files being encrypted (at a minimum or equivalent) with a one-way SHA-2 (or SHA-256) hash 
2. Minimum of a 32 byte salt",Yes,Encryption key management process attached.,,"Integral Development Corporation does encrypt (hash and salt) company controlled access credentials in storage and transfer.

The following design elements are in place:
1.  Are application password files being encrypted (at a minimum or equivalent) with a one-way SHA-2 (or SHA-256) hash  - Validated through inquiry.  SHA-256 hash is in place.
2. Minimum of a 32 byte salt - Validated through inquiry. 64 byte salt is in place.



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
"LAM010: Does your organization require that passwords be masked, obfuscated, or not echoed during entry during login to all applications, operating systems, network devices, etc.?
",Yes,,,"Integral Development Corporation does require that passwords be masked, obfuscated, or not echoed during login to all applications, operating systems, network devices, etc.



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,
