Question,Integral Response,Control Observations/Comments,Attachment(s),Additional Control Observations,Assessor Observations,Observation Type,Question Requirement,Additional Comments,Attachment(s),Updated observation,Updated Assessor Comments,,,,,,,,,,,,,,,
"NM001: Does your company use controls that permit only approved and controlled devices to access the internal network (Network Access Controls (NAC))?

If yes, please describe the mechanisms (systems/tools, methods or settings) used to prevent unauthorized access on the internal network.
Artifact Required: Example unauthorized device scan, snapshot of a NAC console or of a failed attempt of an unauthorized device",Yes,access control policy is in place. Integral uses CloudFlare's security solution for network security including mitigating DDoS attacks.,03-10 Access Rules.jpg [Stage 5](file),"Integral Development Corporation does use controls that permit only approved and controlled devices to access the internal network (Network Access Controls (NAC).

Integral utilizes Cloudflare Access which controls and restricts network access.

The assessor observed the Cloudflare dashboard and validated that unauthorized devices were restricted from the network. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inquiry with Seeja Jiju, Program Manager on 07/23/2021 and observation of evidence.

Evidence referenced:
Cloudflare dashboard - Documents were not retained but inspected and validated remotely.
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"NM002: Does your company have a network diagram depicting use of firewalls to define a logical network perimeter, security zones, and enclaves?

If yes, please attach the network diagram.
Artifact Required: Network Diagram

Design Elements:
1. Traffic routing within multi-tiered infrastructures (e.g., users, networks and management VLANS)
2. Separate firewalls are implemented on both the external facing and internal facing portions of the DMZ.
3. Date and approval
4. Validate that no traffic is permitted to bridge security zones without going through security devices. ",No,,Network Overview(private),"Integral Development Corporation does have a network diagram depicting use of firewalls to define a logical network perimeter, security zones, and enclaves.

Integral has a Network Overview Diagram that shows a multi-tier infrastructure of the Integral's network. 

However, the following design elements are not in place: 
3. Date and approval

The following design elements are in place:
1. Traffic routing within multi-tiered infrastructures (e.g., users, networks and management VLANS)
    Network Overview - Screenshare

2. Separate firewalls are implemented on both the external facing and internal facing portions of the DMZ.
    Network Overview - Screenshot

4. Validate that no traffic is permitted to bridge security zones without going through security devices. 
    Network Overview - Screenshare


Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inquiry with Seeja Jiju, Program Manager on 07/23/2021 and observation of evidence.

Evidence referenced:
Network Overview - Documents were not retained but inspected and validated remotely.
",Observation Noted,Design Gap,In Scope,added date in the new network diagram. Need to upload latest security policy doc. https://drive.google.com/file/d/1AQKKZxZ7tMGAuz71L13fR6LlqoRtAlNt/view?usp=sharing,,No Observation Noted,,,,,,,,,,,,,,,,
"NM003: Does your company confirm that environments with external or internet-facing components have all ingress or egress communications, including encrypted communications, route through perimeter security solutions implemented at the border?  

If yes, please describe.
Artifact Required: Evidence of ingress / egress security technology solutions in place",Not Applicable,Integral uses CloudFlare's security solution for network security including mitigating DDoS attacks.,,"Integral Development Corporation does confirm that environments with external or internet-facing components have all ingress or egress communications, including encrypted communications, route through perimeter security solutions implemented at the border.

Integral does have encrypted perimeter security at all ingress and egress points. Cloud Flare is used for ingress and the Juniper SRX firewalls for egress. Integral was unable to provide evidence to validate the control.

Assessor work steps: 
The assessor's comments were completed through inquiry with Seeja Jiju, Program Manager on 07/23/2021 and inspection of evidence.

Evidence referenced:
CloudFlare Dashboard  - Documents were not retained but inspected and validated remotely.
Juniper screenshot - Documents were not retained but inspected and validated remotely.
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"NM004: Does your company maintain network and dataflow diagrams for each of your clients?
",Yes,,,"Integral Development Corporation does maintain network and dataflow diagrams for each of its clients.



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"NM005: Does your company formally re-certify and authorize firewall rules at least annually or as a result of a significant change in infrastructure?

If yes, please describe.
Artifact Required:  Latest firewall rule recertification including the approver and approved date

Design Elements:
1. Review the latest firewall rule recertification and document the approver and approved date
2. Validate the recertification occurred in the last 12 months
3. Internet facing firewalls are configured to only permit required services based on documented business requirements from the Internet to the demilitarized zone (DMZ) host. 
4. Firewalls are configured to only permit required services between the DMZ host, application, and data storage servers.
5. Only ports and services required for business are enabled on the firewall; 
6. Only approved encryption protocols are permitted through the firewalls 
7. DNS is enabled  ",Not Applicable,Integral uses CloudFlare's security solution for network security including mitigating DDoS attacks.,Firewall Rules Review(private),"Integral Development Corporation does formally re-certify and authorize firewall rules at least every 12 months or as a result of a significant change in infrastructure.

Firewall reviews are completed and go through the change management process. A change request ticket must be created from firewall rule reviews. 

The following design elements are in place:
1. Review the latest firewall rule recertification and document the approver and approved date - July 15th, 2021
    Firewall Rules Review - July 15th, 2021

2. Validate the recertification occurred in the last 12 months - July 15th, 2021
    Firewall Rules Review - Whole document

3. Internet facing firewalls are configured to only permit required services based on documented business requirements from the Internet to the demilitarized zone (DMZ) host.  - Validated through inquiry and review of the Firewall Rules.
    Firewall Rules Review - Whole document

4. Firewalls are configured to only permit required services between the DMZ host, application, and data storage servers. - Validated through inquiry and review of the Firewall Rules.
    Firewall Rules Review - Whole document

5. Only ports and services required for business are enabled on the firewall;  - Validated through inquiry and review of the Firewall Rules.
    Firewall Rules Review - Whole document

6. Only approved encryption protocols are permitted through the firewalls  - Validated through inquiry and review of the Firewall Rules.
    Firewall Rules Review - Whole document

7. DNS is enabled   - Validated through inquiry and review of the Firewall Rules.
    Firewall Rules Review - Whole document


Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inquiry with Seeja Jiju, Program Manager on 07/23/2021 and observation of evidence.

Evidence referenced:
Firewall Rules Review - Documents were not retained but inspected and validated remotely.
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"NM006: Does your company have a procedure that covers firewall user provisioning, deprovisioning and annual recertification?
",Not Applicable,Integral uses CloudFlare's security solution for network security including mitigating DDoS attacks.,,"Integral Development Corporation does not have a procedure that covers firewall user provisioning, deprovisioning and annual recertification in place.



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",Observation Noted,Control Gap,In Scope,Assessor's observation duly noted.,,Control Gap,Observation will remain. Process in place does not satisfy control.,,,,,,,,,,,,,,,
"NM007: Does your company review and approve changes to firewall rules?

If yes, please describe the review and approval process.
Artifact required: Recent Firewall change ticket and all relevant approval documentation",Not Applicable,Integral uses CloudFlare's security solution for network security including mitigating DDoS attacks.,,"Integral Development Corporation does review and approve changes to firewall rules.

All network changes go through the change management process on an annual basis. 

The assessor inspected the firewall rule review completed through ZenDesk ticketing system and there is a approver and requestor. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inquiry with Seeja Jiju, Program Manager on 07/23/2021 and observation of evidence.

Evidence referenced:
Firewall Rule Review  - Documents were not retained but inspected and validated remotely.
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"NM008: Does your company configure network devices and gateways to deny all?
Artifact required: Evidence of ""deny all"" setting in firewall rules.
",Not Applicable,Integral uses CloudFlare's security solution for network security including mitigating DDoS attacks.,,"Integral Development Corporation does configure network devices and gateways to deny all.

Assessor work steps: 
The assessor's comments were completed through inquiry with Seeja Jiju, Program Manager on 07/23/2021 and inspection of evidence.

Evidence referenced:
Juniper screenshot - Documents were not retained but inspected and validated remotely.
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"NM009: Does your organization protect network addresses from discovery through the use of network address translation (NAT) services?
",Not Applicable,Integral uses CloudFlare's security solution for network security including mitigating DDoS attacks.,,"Integral Development Corporation does protect network addresses from discovery through the use of network address translation (NAT) services.



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"NM010: Does your company route all outbound internet traffic through a proxy server?

If yes, please describe the features of the proxy server that have been implemented.
",Not Applicable,Integral uses CloudFlare's security solution for network security including mitigating DDoS attacks.,,"Integral Development Corporation does route all outbound internet traffic through a proxy server.

Integral uses Cloudflare's security solution for network security including mitigating DDoS attacks. Cloudflare routes all traffic through a proxy server.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
