Question,Integral Response,Control Observations/Comments,Attachment(s),Additional Control Observations,Assessor Observations,Observation Type,Question Requirement,Additional Comments,Attachment(s),Updated observation,Updated Assessor Comments,,,,,,,,,,,,,,,
"TVM001: Does your company have a Threat and Vulnerability Management Policy? 

If yes, please attach.
Artifact Required: Vulnerability, Malware and Threat Management Policy/Program

Design Elements:
1. Requirements for routine scanning of assets for vulnerabilities
2. Requirements for anti-virus/malware containment and resolution processes
3. Requirements for the ranking, tracking, and remediation of findings from vulnerability scans/penetration tests including risk acceptance",Yes,,"Integral Security Policy 2.0.pdf [Stage 5](file)
Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5](file)","Integral Development Corporation does have a Threat and Vulnerability Management Policy in place.

The following design elements are in place:
1. Requirements for routine scanning of assets for vulnerabilities
    Integral Security Policy 2.0.pdf [Stage 5] - Page 2, Section Independent Risk Assessments

2. Requirements for anti-virus/malware containment and resolution processes - No exception noted. 
    Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5] - CC5.3, 
    Integral Security Policy 2.0.pdf [Stage 5] - Page 2, Section Independent Risk Assessments

3. Requirements for the ranking, tracking, and remediation of findings from vulnerability scans/penetration tests including risk acceptance
    Integral Security Policy 2.0.pdf [Stage 5] - Page 2, Section Independent Risk Assessments




Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and observation of evidence.

Evidence referenced:
Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5] 
Integral Security Policy 2.0.pdf [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"TVM002: Does your company deploy antivirus/anti-malware software on all laptops/workstations and implement signature updates at least twice weekly? 

If yes, please mention the name of the  software and deployment mode (centralized/stand-alone).
Artifact Required: 
Screen shot of antivirus software on in-scope workstations reflecting the last update details.",Yes,TrendMicro,05-04 TrendMicro Update Frequency.pdf [Stage 5](file),"Integral Development Corporation does deploy antivirus/anti-malware software on all laptops/workstations and implement signature updates at least twice weekly.

Integral utilizes TrendMicro AV.

The assessor inspected the screenshot of the antivirus software for in-scope workstations. Updates occur every 2 hours. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inspection of evidence.

Evidence referenced:
05-04 TrendMicro Update Frequency.pdf [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"TVM003: Does your company deploy antivirus/anti-malware software on all servers and implement signature updates at least twice weekly?

 If yes, please mention the name of the  software and deployment mode (centralized/stand-alone).

If no, please describe what servers are not in scope and why.
Artifact Required: 
Screen shot of antivirus software on in-scope servers reflecting the last update details.",Yes,,05-04 TrendMicro Update Frequency.pdf [Stage 5](file),"Integral Development Corporation does deploy antivirus/anti-malware software on all servers and implement signature updates at least twice weekly.

TrendMicro AV is installed on all servers. 

As per SOC 1, the service auditor obtained and reviewed screenshots of the antivirus dashboard and verified that anti-virus software was installed on workstations and servers and was configured to scan on a continuous basis. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inquiry with Seeja Jiju, Program Manager on 07/23/2021 and inspection of evidence.

Evidence referenced:
Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"TVM004: Does your company perform real-time, periodic, and on-demand anti-virus scanning across your IT systems including servers, laptops, and desktops?
Artifact Required: Screenshot of antivirus console capturing the frequency of scan",Yes,,05-04 TrendMicro Update Frequency.pdf [Stage 5](file),"Integral Development Corporation does perform real-time, periodic, and on-demand anti-virus scanning across its IT systems including servers, laptops, and desktops.



The assessor inspected via viewing a screenshot of the TrendMicro frequency for updates. Scan for updates occur every 2 hours. 

Additionally, as per SOC 1, the service auditor obtained and reviewed screenshots of the antivirus dashboard and verified that anti-virus software was installed on workstations and servers and was configured to scan on a continuous basis. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inspection of evidence.

Evidence referenced:
05-04 TrendMicro Update Frequency.pdf [Stage 5] 
Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"TVM005: Does your company have a process / system in place to detect and rectify machines without anti-virus installed, without the latest virus definitions, and without the latest version of their anti-virus tool/solution?

If yes, please describe the isolation and remediation process.
",Yes,,Integral Security Policy 2.0.pdf [Stage 5](file),"Integral Development Corporation does have a process/system to detect and rectify machines without anti-virus installed, without the latest virus definitions, and without the latest version of its anti-virus tool/solution in place.

Integral will immediately remove an affected machine from the network and triage the device until the malware is rectified. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inspection of evidence and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

Evidence referenced:
Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"TVM006: Does your company scan all email attachments for malware?  

If yes, please describe the tools used to scan.
",Yes,Defined in security policy.,Integral Security Policy 2.0.pdf [Stage 5](file),"Integral Development Corporation does scan all email attachments for malware.

All incoming email is scanned using Barracuda. 

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response, inspection of evidence and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

Evidence referenced:
Integral Development 2020 SOC 1 and ISAE 3402 Type 2 Report.pdf [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"TVM007: Does your company deploy and have controls to update an intrusion detection system (IDS) and an intrusion prevention system (IPS) in your environment?

If yes, please supply the name of the tool and the frequency of alert reviews.
",Yes,User account is locked after fixed number of unauthorized attempts.,,"Integral Development Corporation does deploy and have controls to update an intrusion detection system (IDS) and/or an intrusion prevention system (IPS) in its environment.

 Cloudflare Security Solution is utilized for IPS/IDS. Alerts are sent in real-time to Integral's SIEM, which is monitored 24/7.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"TVM008: Does your company have a solution in place to detect, prevent, contain and mitigate DoS (denial of service) and DDoS (distributed denial of service) attacks for all business-critical, Internet-facing systems? 

If yes, please describe the discovery of DoS/DDoS events and response process.
",Yes,Integral uses CloudFlare's security solution for network security including mitigating DDoS attacks.,,"Integral Development Corporation does have a solution to detect, prevent, contain and mitigate DoS (denial of service) and DDoS (distributed denial of service) attacks for all business-critical, Internet-facing systems in place.

Integral uses Cloudflare's security solution for network security including mitigating DDoS attacks.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"TVM009: Are controls in place to protect against DNS hijacking, man-in-the-middle and other similar attacks? 
If yes, please describe all processes/tools used.
",Yes,Integral uses CloudFlare's security solution for network security including mitigating DDoS attacks.,,"Integral Development Corporation does have controls to protect against DNS hijacking, man-in-the-middle and other similar attacks in place.

Integral uses Cloudflare's security solution for network security including mitigating DNS hijacking and similar attacks.

Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inquiry with Seeja Jiju, Program Manager on 07/23/2021.

",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
"TVM010: Does your company conduct network vulnerability scans against all hosts on a periodic basis. 

If yes, please describe the tool used and frequency of scanning.
Artifact Required: Network vulnerability scan report

Design Elements:
1. scope of report contains all hosts.
2. Document tools used
3. Validate if scans are authenticated or unauthenticated",Yes,Conducted by independent risk assessment agency.,2021-03-20_VulnerabilityTest.pdf [Stage 5](file),"Integral Development Corporation does conduct network vulnerability scans against all hosts on a periodic basis.

Integral conducts independent network vulnerability scans. Scans occur quarterly. 

The following design elements are in place:
1. scope of report contains all hosts.
    2021-03-20_VulnerabilityTest.pdf [Stage 5] - Page 2, Port Scan

2. Document tools used
    2021-03-20_VulnerabilityTest.pdf [Stage 5] - Page 2, Executive Summary

3. Validate if scans are authenticated or unauthenticated - Validated through inquiry, Unauthenticated scanning is completed 



Assessor work steps: 
The assessor's comments were completed through review of the Third Party response and inspection of evidence.

Evidence referenced:
2021-03-20_VulnerabilityTest.pdf [Stage 5] 
",No Observation Noted,,In Scope,,,,,,,,,,,,,,,,,,,
